院校代号,院校名,专业组号,再选科目要求(原文),subject_requirement,投档最低分,年份,首选(科类)
8761,电子科技大学成都学院,01,不限,历史,499,2025,历史
8762,成都理工大学工程技术学院,01,不限,历史,500,2025,历史
8763,四川传媒学院,01,不限,历史,497,2025,历史
8763,四川传媒学院,02,不限,历史,499,2025,历史
8764,成都银杏酒店管理学院,01,不限,历史,493,2025,历史
8765,成都文理学院,01,不限,历史,495,2025,历史
8766,四川工商学院,01,不限,历史,494,2025,历史
8767,成都外国语学院,01,不限,历史,495,2025,历史
8769,成都锦城学院,01,不限,历史,510,2025,历史
8769,成都锦城学院,02,不限,历史,495,2025,历史
8770,西南财经大学天府学院,01,不限,历史,504,2025,历史
8770,西南财经大学天府学院,02,不限,历史,503,2025,历史
8770,西南财经大学天府学院,03,不限,历史,520,2025,历史
8771,四川大学锦江学院,01,不限,历史,506,2025,历史
8771,四川大学锦江学院,02,思想政治,历史+思想政治,505,2025,历史
8774,西南交通大学希望学院,01,不限,历史,506,2025,历史
8781,吉利学院,01,不限,历史,491,2025,历史
8801,重庆城市科技学院,01,不限,历史,497,2025,历史
8801,重庆城市科技学院,02,思想政治,历史+思想政治,506,2025,历史
8802,重庆外语外事学院,01,不限,历史,505,2025,历史
8803,重庆对外经贸学院,01,不限,历史,498,2025,历史
8804,重庆财经学院,01,不限,历史,508,2025,历史
8805,重庆工商大学派斯学院,01,不限,历史,501,2025,历史
8806,重庆移通学院,01,不限,历史,496,2025,历史
8808,重庆人文科技学院,01,不限,历史,499,2025,历史
8841,贵阳人文科技学院,01,不限,历史,496,2025,历史
8870,滇池学院,01,不限,历史,490,2025,历史
8871,丽江文化旅游学院,01,不限,历史,487,2025,历史
8872,昆明城市学院,01,不限,历史,495,2025,历史
8873,昆明医科大学海源学院,01,不限,历史,492,2025,历史
8874,昆明传媒学院,01,不限,历史,490,2025,历史
8875,昆明文理学院,01,不限,历史,500,2025,历史
8876,昆明理工大学津桥学院,01,不限,历史,489,2025,历史
8878,云南经济管理学院,01,不限,历史,497,2025,历史
8882,云南工商学院,01,不限,历史,495,2025,历史
8901,西安培华学院,01,不限,历史,492,2025,历史
8901,西安培华学院,02,不限,历史,490,2025,历史
8902,西安欧亚学院,01,不限,历史,488,2025,历史
8903,西安外事学院,01,不限,历史,490,2025,历史
8904,西安翻译学院,01,不限,历史,497,2025,历史
8905,西京学院,01,不限,历史,506,2025,历史
8906,西安思源学院,01,不限,历史,488,2025,历史
8907,陕西国际商贸学院,01,不限,历史,491,2025,历史
8910,西安交通大学城市学院,01,不限,历史,499,2025,历史
8911,西北大学现代学院,01,不限,历史,484,2025,历史
8912,西安建筑科技大学华清学院,01,不限,历史,497,2025,历史
8913,西安财经大学行知学院,01,不限,历史,494,2025,历史
8914,西安工商学院,01,不限,历史,494,2025,历史
8915,延安大学西安创新学院,01,不限,历史,494,2025,历史
8916,西安明德理工学院,01,不限,历史,497,2025,历史
8918,西安科技大学高新学院,01,不限,历史,483,2025,历史
8940,兰州工商学院,01,不限,历史,490,2025,历史
8941,兰州博文科技学院,01,不限,历史,495,2025,历史
8970,宁夏理工学院,01,不限,历史,488,2025,历史
8971,宁夏大学新华学院,01,不限,历史,496,2025,历史
8972,银川能源学院,01,不限,历史,485,2025,历史
9112,香港珠海学院,01,不限,历史,514,2025,历史
